event_id,timestamp,event_type,job_id,part_id,customer_id,machine_id,material,quantity,facility,priority,tool_id,cycle_time_seconds,defect_code,inspector_id,operator_id,good_quantity,scrap_quantity,reason
"evt_000001","2026-07-03T13:41:56Z","job_created","job_0080","part_1015","cust_nimbus",,"carbon_fiber_epoxy",182,"la_01","normal",,,,,,,,
"evt_000002","2026-07-03T19:01:20Z","job_created","job_0198","part_1005","cust_lumen",,"carbon_fiber_epoxy",265,"la_01","normal",,,,,,,,
"evt_000003","2026-07-03T19:53:16Z","job_created","job_0145","part_1020","cust_northarc",,"phenolic_prepreg",500,"la_01","normal","tool_36",,,,,,,
"evt_000004","2026-07-03T22:13:59Z","job_created","job_0049","part_1021","cust_forge",,"carbon_fiber_epoxy",263,"la_01","low",,,,,,,,
"evt_000005","2026-07-03T22:23:22Z","job_created","job_0021","part_1012","cust_vector",,"carbon_smc_epoxy",142,"la_01","normal","tool_12",,,,,,,
"evt_000006","2026-07-03T22:32:12Z","job_created","job_0242","part_1005","cust_quill",,"carbon_fiber_epoxy",424,"la_01","normal",,,,,,,,
"evt_000007","2026-07-03T23:29:24Z","tool_ready","job_0080","part_1015","cust_nimbus","tooling_02","carbon_fiber_epoxy",0,"la_01",,"tool_20",,,,,,,
"evt_000008","2026-07-04T06:41:44Z","job_created","job_0241","part_1000","cust_orbit",,"glass_fiber_epoxy",500,"la_01","normal","tool_21",,,,,,,
"evt_000009","2026-07-04T06:58:34Z","job_created","job_0161","part_1000","cust_nimbus",,"glass_fiber_epoxy",122,"la_01","normal","tool_21",,,,,,,
"evt_000010","2026-07-04T08:57:08Z","job_created","job_0220","part_1010","cust_northarc",,"hybrid_weave_epoxy",205,"la_01","normal","tool_02",,,,,,,
"evt_000011","2026-07-04T10:49:54Z","job_created","job_0248","part_1015","cust_nimbus",,"carbon_fiber_epoxy",246,"la_01","normal","tool_20",,,,,,,
"evt_000012","2026-07-04T18:56:17Z","job_created","job_0135","part_1019","cust_vantage",,"glass_fiber_epoxy",500,"la_01","normal",,,,,,,,
"evt_000013","2026-07-04T22:03:12Z","job_created","job_0151","part_1012","cust_helix",,"carbon_smc_epoxy",139,"la_01","low","tool_12",,,,,,,
"evt_000014","2026-07-04T23:23:44Z","job_created","job_0096","part_1008","cust_slate",,"phenolic_prepreg",256,"la_01","low","tool_25",,,,,,,
"evt_000015","2026-07-05T06:25:08Z","job_created","job_0029","part_1015","cust_aeroform",,"carbon_fiber_epoxy",229,"la_01","normal","tool_20",,,,,,,
"evt_000016","2026-07-05T10:55:08Z","tool_ready","job_0161","part_1000","cust_nimbus","tooling_02","glass_fiber_epoxy",0,"la_01",,"tool_21",,,,,,,
"evt_000017","2026-07-05T13:57:55Z","job_created","job_0068","part_1018","cust_orbit",,"carbon_fiber_epoxy",194,"la_01","low","tool_05",,,,,,,
